Quantity,Level/Category,Common Code,Name,Conversion Factor,Symbol,Description
electric field strength,1S,H24,volt per microsecond,10⁶ V/s,V/µs,
electric field strength,1M,H62,millivolt per minute,"1,666 666 667 × 10⁻⁵ m² x kg x s⁻⁴ x A⁻¹",mV/min,
electric field strength,1S,H46,volt per second,m² x kg x s⁻⁴ x A⁻¹,V/s,
electric field strength,1S,B79,megavolt per metre,10⁶ V/m,MV/m,
electric field strength,1S,B55,kilovolt per metre,10³ V/m,kV/m,
electric field strength,1S,D47,volt per centimetre,10² m⁻¹ x V,V/cm,
electric field strength,1S,C30,millivolt per metre,10⁻³ V/m,mV/m,
electric field strength,1S,C3,microvolt per metre,10⁻⁶ V/m,µV/m,
electric field strength,1M,G60,volt per bar,10⁻⁵ m³ x s⁻¹ x A⁻¹,V/bar,
electric field strength,1M,N98,volt per pascal,m³ x s⁻¹ x A⁻¹,V/Pa,Derived SI unit volt divided by the derived SI unit pascal.
electric field strength,1M,F87,volt per litre minute,"1,666 67 × 10¹ kg x m⁻¹ x s⁻⁴ x A⁻¹",V/(l·min),
electric field strength,2,H22,volt square inch per pound-force,"1,450 377 439 8 × 10⁻⁴ m³ x s⁻¹ x A⁻¹",V/(lbf/in²),
electric field strength,2,H23,volt per inch,"3,937 007 874 × 10¹ m x kg x s⁻³ x A⁻¹",V/in,
"electric potential, potential difference, tension, voltage, electromotive force",1,VLT,volt,V,V,
"electric potential, potential difference, tension, voltage, electromotive force",1S,B78,megavolt,10⁶ V,MV,
"electric potential, potential difference, tension, voltage, electromotive force",1S,KVT,kilovolt,10³ V,kV,
"electric potential, potential difference, tension, voltage, electromotive force",1S,2Z,millivolt,10⁻³ V,mV,
"electric potential, potential difference, tension, voltage, electromotive force",1S,D82,microvolt,10⁻⁶ V,µV,
"electric potential, potential difference, tension, voltage, electromotive force",1M,N99,picovolt,10⁻¹² V,pV,"0,000 000 000 001-fold of the derived SI unit volt."
capacitance,1,FAR,farad,F,F,
capacitance,1S,H48,attofarad,10⁻¹⁸ m⁻² x kg⁻¹ x s⁴ x A²,aF,
capacitance,1S,C10,millifarad,10⁻³ F,mF,
capacitance,1S,4O,microfarad,10⁻⁶ F,µF,
capacitance,1S,C41,nanofarad,10⁻⁹ F,nF,
capacitance,1S,4T,picofarad,10⁻¹² F,pF,
capacitance,1M,N90,kilofarad,10³ F,kF,1000-fold of the derived SI unit farad.
"permittivity, permittivity of vacuum, (electric constant)",1,A69,farad per metre,kg⁻¹ x m⁻³ x s⁴ x A²,F/m,
"permittivity, permittivity of vacuum, (electric constant)",1S,H28,microfarad per kilometre,10⁻⁹ F/m,µF/km,
"permittivity, permittivity of vacuum, (electric constant)",1S,H33,farad per kilometre,10⁻³ F/m,F/km,
"permittivity, permittivity of vacuum, (electric constant)",1S,B89,microfarad per metre,10⁻⁶ F/m,µF/m,
"permittivity, permittivity of vacuum, (electric constant)",1S,C42,nanofarad per metre,10⁻⁹ F/m,nF/m,
"permittivity, permittivity of vacuum, (electric constant)",1S,C72,picofarad per metre,10⁻¹² F/m,pF/m,
relative permittivity,1,C62,one,1,1,Synonym: unit
electric susceptibility,1,C62,one,1,1,Synonym: unit
electric dipole moment,1,A26,coulomb metre,A x s x m,C·m,
current density,1,A41,ampere per square metre,A/m²,A/m²,
current density,1,H31,ampere per kilogram,A x kg⁻¹,A/kg,
current density,1S,B66,megaampere per square metre,10⁶ A/m²,MA/m²,
current density,1S,A7,ampere per square millimetre,10⁶ A/m²,A/mm²,
current density,1S,A4,ampere per square centimetre,10⁴ A/m²,A/cm²,
current density,1S,B23,kiloampere per square metre,10³ A/m²,kA/m²,
current density,1M,G59,milliampere per litre minute,"1,666 67 × 10⁻² m⁻³ x s⁻¹ x A",mA/(l·min),
current density,1M,N93,ampere per pascal,kg⁻¹ x m x s² x A,A/Pa,SI base unit ampere divided by the derived SI unit pascal.
current density,2,F57,milliampere per pound-force per square inch,"1,450 38 × 10⁻⁷ kg⁻¹ x m x s² x A",mA/(lbf/in²),
"linear electric current density, lineic electric current, magnetic field strength",1M,F59,milliampere per bar,10⁻⁸ kg⁻¹ x m x s² x A,mA/bar,
"linear electric current density, lineic electric current, magnetic field strength",1,AE,ampere per metre,A/m,A/m,
"linear electric current density, lineic electric current, magnetic field strength",1S,B24,kiloampere per metre,10³ A/m,kA/m,
"linear electric current density, lineic electric current, magnetic field strength",1S,A3,ampere per millimetre,10³ A/m,A/mm,
"linear electric current density, lineic electric current, magnetic field strength",1S,A2,ampere per centimetre,10² A/m,A/cm,
"linear electric current density, lineic electric current, magnetic field strength",1M,F76,milliampere per millimetre,m⁻¹ x A,mA/mm,
"linear electric current density, lineic electric current, magnetic field strength",2,F08,milliampere per inch,"3,937 007 874 015 75 x 10⁻² A x m⁻¹",mA/in,
lineic charge,1,P10,coulomb per metre,m⁻¹ x s x A,C/m,Derived SI unit coulomb divided by the SI base unit metre.
"magnetic flux density, magnetic induction, magnetic polarization",1,D33,tesla,T,T,
"magnetic flux density, magnetic induction, magnetic polarization",1S,C29,millitesla,10⁻³ T,mT,
"magnetic flux density, magnetic induction, magnetic polarization",1S,D81,microtesla,10⁻⁶ T,µT,
"magnetic flux density, magnetic induction, magnetic polarization",1S,C48,nanotesla,10⁻⁹ T,nT,
"magnetic flux density, magnetic induction, magnetic polarization",1M,P13,kilotesla,10³ T,kT,1000-fold of the derived SI unit tesla.
"magnetic flux density, magnetic induction, magnetic polarization",2,P12,gamma,10⁻⁹ T,γ,Unit of magnetic flow density.
magnetic flux,1,WEB,weber,Wb,Wb,
magnetic flux,1S,C33,milliweber,10⁻³ Wb,mWb,
magnetic flux,1M,P11,kiloweber,10³ Wb,kWb,1000 fold of the derived SI unit weber.
magnetic vector potential,1,D59,weber per metre,Wb/m,Wb/m,
magnetic vector potential,1S,B56,kiloweber per metre,10³ Wb/m,kWb/m,
magnetic vector potential,1S,D60,weber per millimetre,10³ Wb/m,Wb/mm,
"self inductance, mutual inductance, permeance",1,81,henry,H,H,
"self inductance, mutual inductance, permeance",1S,C14,millihenry,10⁻³ H,mH,
"self inductance, mutual inductance, permeance",1S,B90,microhenry,10⁻⁶ H,µH,
"self inductance, mutual inductance, permeance",1S,C43,nanohenry,10⁻⁹ H,nH,
"self inductance, mutual inductance, permeance",1S,C73,picohenry,10⁻¹² H,pH,
"self inductance, mutual inductance, permeance",1M,H03,henry per kiloohm,10⁻³ s,H/kΩ,
"self inductance, mutual inductance, permeance",1M,H04,henry per ohm,s,H/Ω,
"self inductance, mutual inductance, permeance",1M,G98,microhenry per kiloohm,10⁻⁹ s,µH/kΩ,
"self inductance, mutual inductance, permeance",1M,G99,microhenry per ohm,10⁻⁶ s,µH/Ω,
"self inductance, mutual inductance, permeance",1M,H05,millihenry per kiloohm,10⁻⁶ s,mH/kΩ,
"self inductance, mutual inductance, permeance",1M,H06,millihenry per ohm,10⁻³ s,mH/Ω,
"self inductance, mutual inductance, permeance",1M,P24,kilohenry,10³ H,kH,1000-fold of the derived SI unit henry.
"coupling coefficient, leakage coefficient",1,C62,one,1,1,Synonym: unit
"number of turns in a winding, number of phases, number of pairs of poles",1,C62,one,1,1,Synonym: unit
"permeability, permeability of vacuum, magnetic constant",1,A98,henry per metre,H/m,H/m,
"permeability, permeability of vacuum, magnetic constant",1S,B91,microhenry per metre,10⁻⁶ H/m,µH/m,
"permeability, permeability of vacuum, magnetic constant",1S,C44,nanohenry per metre,10⁻⁹ H/m,nH/m,
relative permeability,1,C62,one,1,1,Synonym: unit
magnetic susceptibility,1,C62,one,1,1,Synonym: unit
"electromagnetic moment, magnetic moment, (magnetic area moment)",1,A5,ampere square metre,A x m²,A·m²,
magnetization,1,AE,ampere per metre,A/m,A/m,
"electromagnetic energy density, volumic electromagnetic energy",1,B8,joule per cubic metre,J/m³,J/m³,
Poynting vector,1,D54,watt per square metre,W/m²,W/m²,
"phase velocity of electromagnetic
 waves, phase speed of electromagnetic waves",1,MTS,metre per second,m/s,m/s,
"resistance (to direct current), impedance, (complex impedances), modulus of impedance, resistance (to alternating current), reactance",1,OHM,ohm,Ω,Ω,
"resistance (to direct current), impedance, (complex impedances), modulus of impedance, resistance (to alternating current), reactance",1S,A87,gigaohm,10⁹ Ω,GΩ,
"resistance (to direct current), impedance, (complex impedances), modulus of impedance, resistance (to alternating current), reactance",1S,B75,megaohm,10⁶ Ω,MΩ,
"resistance (to direct current), impedance, (complex impedances), modulus of impedance, resistance (to alternating current), reactance",1S,H44,teraohm,10¹² Ω,TΩ,
"resistance (to direct current), impedance, (complex impedances), modulus of impedance, resistance (to alternating current), reactance",1S,B49,kiloohm,10³ Ω,kΩ,
"resistance (to direct current), impedance, (complex impedances), modulus of impedance, resistance (to alternating current), reactance",1S,E45,milliohm,10⁻³ Ω,mΩ,
"resistance (to direct current), impedance, (complex impedances), modulus of impedance, resistance (to alternating current), reactance",1S,B94,microohm,10⁻⁶ Ω,µΩ,
"resistance (to direct current), impedance, (complex impedances), modulus of impedance, resistance (to alternating current), reactance",1M,P22,nanoohm,10⁻⁹ Ω,nΩ,"0,000 000 001-fold of the derived SI unit ohm."
resistance load per unit length ,2,M26,gigaohm per metre,10⁹ Ω/m,GΩ/m,
"conductance (for direct current), admittance, (complex admittance), modulus of admittance,(admittance), conductance (for alternating current)",1,SIE,siemens,A/V,S,
"conductance (for direct current), admittance, (complex admittance), modulus of admittance,(admittance), conductance (for alternating current)",1S,B53,kilosiemens,10³ S,kS,
"conductance (for direct current), admittance, (complex admittance), modulus of admittance,(admittance), conductance (for alternating current)",1S,C27,millisiemens,10⁻³ S,mS,
"conductance (for direct current), admittance, (complex admittance), modulus of admittance,(admittance), conductance (for alternating current)",1S,B99,microsiemens,10⁻⁶ S,µS,
"conductance (for direct current), admittance, (complex admittance), modulus of admittance,(admittance), conductance (for alternating current)",1M,G42,microsiemens per centimetre,10⁻⁴ S/m,µS/cm,
"conductance (for direct current), admittance, (complex admittance), modulus of admittance,(admittance), conductance (for alternating current)",1M,G43,microsiemens per metre,10⁻⁶ S/m,µS/m,
"conductance (for direct current), admittance, (complex admittance), modulus of admittance,(admittance), conductance (for alternating current)",1M,N92,picosiemens,10⁻¹² S,pS,"0,000 000 000 001-fold of the derived SI unit siemens."
susceptance,2,NQ,mho,S,,
susceptance,2,NR,micromho,10⁻⁶ S,,
resistivity,1,C61,ohm metre,Ω x m,Ω·m,
resistivity,1S,A88,gigaohm metre,10⁹ Ω x m,GΩ·m,
resistivity,1S,B76,megaohm metre,10⁶ Ω x m,MΩ·m,
resistivity,1S,H88,megaohm kilometre,10⁹ Ω x m,MΩ·km,
resistivity,1S,B50,kiloohm metre,10³ Ω x m,kΩ·m,
resistivity,1S,C60,ohm centimetre,10⁻² Ω x m ,Ω·cm,
resistivity,1S,C23,milliohm metre,10⁻³ Ω x m,mΩ·m,
resistivity,1S,B95,microohm metre,10⁻⁶ Ω x m,µΩ·m,
resistivity,1S,C46,nanoohm metre,10⁻⁹ Ω·x m,nΩ·m,
resistivity,1M,M24,ohm kilometre,10³ Ω x m,Ω·km,
resistivity,2,P23,ohm circular-mil per foot ,"1,662 426 x 10⁻⁹ Ω x m",Ω·cmil/ft ,Unit of resistivity.
lineic resistance,1M,F56,ohm per kilometre,10⁻³ Ω/m,Ω/km,
lineic resistance,1M,H26,ohm per metre,Ω/m,Ω/m,
lineic resistance,1M,H37,megaohm per metre,10⁶ Ω/m,MΩ/m,
lineic resistance,1M,F54,milliohm per metre,10⁻³ Ω/m,mΩ/m,
lineic resistance,1M,H36,megaohm per kilometre,10³ Ω/m,MΩ/km,
lineic resistance,2,F55,ohm per mile (statute mile),"6,213 71 × 10⁻⁴  Ω/m",Ω/mi,
conductivity,1,D10,siemens per metre,S/m,S/m,
conductivity,1S,H43,siemens per centimetre,10² S/m,S/cm,
conductivity,1S,H61,millisiemens per centimetre,10⁻¹ S/m,mS/cm,
conductivity,1S,B77,megasiemens per metre,10⁶ S/m,MS/m,
conductivity,1S,B54,kilosiemens per metre,10³ S/m,kS/m,
conductivity,1M,G45,nanosiemens per metre,10⁻⁹ S/m,nS/m,
conductivity,1M,G44,nanosiemens per centimetre,10⁻⁷ S/m,nS/cm,
conductivity,2,L42,picosiemens per metre,10⁻¹² S/m,pS/m,
reluctance,1,C89,reciprocal henry,H⁻¹,H⁻¹,
"phase difference, phase displacement, loss angle",1,C81,radian,rad,rad,
"power (for direct current), active power",1,WTT,watt,W,W,
"power (for direct current), active power",1,P14,joule per second,W,J/s,Quotient of the derived SI unit joule divided by the SI base unit second.
"power (for direct current), active power",1S,KWT,kilowatt,10³ W,kW,
"power (for direct current), active power",1S,MAW,megawatt,10⁶ W,MW,A unit of power defining the rate of energy transferred or consumed when a current of 1000 amperes flows due to a potential of 1000 volts at unity power factor.
"power (for direct current), active power",1S,A90,gigawatt,10⁹ W,GW,
"power (for direct current), active power",1S,D31,terawatt,10¹² W,TW,
"power (for direct current), active power",1S,C31,milliwatt,10⁻³ W,mW,
"power (for direct current), active power",1M,P15,joule per minute,"1,666 67 × 10⁻² W",J/min,Quotient from the derived SI unit joule divided by the unit minute.
"power (for direct current), active power",1M,P16,joule per hour,"2,777 78 × 10⁻⁴ W",J/h,Quotient from the derived SI unit joule divided by the unit hour.
"power (for direct current), active power",1M,P17,joule per day,"1,157 41 × 10⁻⁵ W",J/d,Quotient from the derived SI unit joule divided by the unit day.
"power (for direct current), active power",1M,P18,kilojoule per second,10³ W,kJ/s,Quotient from the 1000-fold of the derived SI unit joule divided by the SI base unit second.
"power (for direct current), active power",1M,P19,kilojoule per minute,"1,666 67 × 10 W",kJ/min,Quotient from the 1000-fold of the derived SI unit joule divided by the unit minute.
"power (for direct current), active power",1M,P20,kilojoule per hour,"2,777 78 x 10⁻¹ W",kJ/h,Quotient from the 1000-fold of the derived SI unit joule divided by the unit hour.
"power (for direct current), active power",1M,P21,kilojoule per day,"1,157 41 x 10⁻² W",kJ/d,Quotient from the 1000-fold of the derived SI unit joule divided by the unit day.
"power (for direct current), active power",1S,D80,microwatt,10⁻⁶ W,µW,
"power (for direct current), active power",2,K43,horsepower (electric),746 W,electric hp,
"power (for direct current), active power",1S,C49,nanowatt,10⁻⁹ W,nW,
"power (for direct current), active power",1S,C75,picowatt,10⁻¹² W,pW,
apparent power,1,D46,volt - ampere,W,V·A,
apparent power,1S,MVA,megavolt - ampere,10⁶ V x A,MV·A,
